,Cambodia,Lao_PDR,Thailand,Myanmar
1/7/2017,3,0,0,0
2/7/2017,0,0,0,0
3/7/2017,0,0,0,0
4/7/2017,0,0,0,0
5/7/2017,1,0,0,0
6/7/2017,0,0,0,0
7/7/2017,0,0,0,0
8/7/2017,0,0,0,0
9/7/2017,0,0,1,0
10/7/2017,7,0,0,0
11/7/2017,0,0,0,0
12/7/2017,0,0,0,0
13/7/2017,0,0,0,0
14/7/2017,0,0,0,0
15/7/2017,0,0,3,1
16/7/2017,0,0,0,0
17/7/2017,0,0,0,0
18/7/2017,0,0,0,0
19/7/2017,0,0,0,0
20/7/2017,0,0,0,0
21/7/2017,0,0,0,0
22/7/2017,0,0,0,0
23/7/2017,0,0,0,0
24/7/2017,0,0,0,0
25/7/2017,0,0,0,0
26/7/2017,0,0,0,0
27/7/2017,0,0,1,0
28/7/2017,0,0,0,0
29/7/2017,0,0,0,0
30/7/2017,1,0,1,0
31/7/2017,2,0,2,0
1/8/2017,0,0,1,0
2/8/2017,4,0,1,0
3/8/2017,0,0,0,0
4/8/2017,0,0,0,0
5/8/2017,0,0,2,0
6/8/2017,0,0,0,0
7/8/2017,0,0,0,0
8/8/2017,0,0,0,0
9/8/2017,0,0,1,0
10/8/2017,1,0,3,0
11/8/2017,2,0,12,2
12/8/2017,0,0,2,0
13/8/2017,0,0,0,0
14/8/2017,0,0,1,0
15/8/2017,0,0,0,0
16/8/2017,0,0,0,0
17/8/2017,0,0,0,0
18/8/2017,0,0,0,0
19/8/2017,0,0,0,0
20/8/2017,0,0,0,0
21/8/2017,0,0,5,1
22/8/2017,0,0,6,0
23/8/2017,0,0,2,5
24/8/2017,0,0,0,0
25/8/2017,0,0,0,0
26/8/2017,0,0,1,0
27/8/2017,1,0,0,0
28/8/2017,0,0,1,1
29/8/2017,0,0,0,2
30/8/2017,0,0,0,0
31/8/2017,0,0,2,0
1/9/2017,0,0,9,0
2/9/2017,0,0,0,0
3/9/2017,0,0,0,0
4/9/2017,0,0,0,1
5/9/2017,0,0,0,0
6/9/2017,0,0,19,0
7/9/2017,1,0,0,0
8/9/2017,0,0,0,0
9/9/2017,0,0,2,0
10/9/2017,0,0,2,0
11/9/2017,0,0,9,2
12/9/2017,0,0,3,0
13/9/2017,0,0,6,0
14/9/2017,0,0,1,2
15/9/2017,0,0,0,3
16/9/2017,0,0,0,1
17/9/2017,0,0,0,0
18/9/2017,0,0,7,0
19/9/2017,0,0,1,0
20/9/2017,0,0,0,0
21/9/2017,0,0,5,0
22/9/2017,0,0,0,1
23/9/2017,0,0,0,0
24/9/2017,0,3,0,0
25/9/2017,0,0,0,0
26/9/2017,0,0,0,0
27/9/2017,0,0,11,0
28/9/2017,0,0,11,1
29/9/2017,0,0,0,0
30/9/2017,0,0,0,0
1/10/2017,0,0,0,0
2/10/2017,0,0,0,0
3/10/2017,0,0,0,0
4/10/2017,2,0,1,1
5/10/2017,0,0,0,0
6/10/2017,0,0,0,0
7/10/2017,0,0,0,2
8/10/2017,0,0,1,1
9/10/2017,0,0,0,1
10/10/2017,0,0,0,0
11/10/2017,0,0,0,0
12/10/2017,0,0,0,0
13/10/2017,0,0,0,0
14/10/2017,0,0,0,0
15/10/2017,0,0,0,0
16/10/2017,0,0,0,0
17/10/2017,0,0,0,0
18/10/2017,0,0,0,0
19/10/2017,0,0,8,0
20/10/2017,2,1,2,0
21/10/2017,1,0,0,0
22/10/2017,0,0,0,0
