Province,DateTime,Wind,Temp
BKK,2020-06-30 22:00 Local,240° @ 21,29.4
BKK,2020-07-01 01:00 Local,235° @ 15,28.5
BKK,2020-07-01 04:00 Local,225° @ 13,28.3
BKK,2020-07-01 07:00 Local,240° @ 15,28.7
BKK,2020-07-01 10:00 Local,250° @ 16,29.7
BKK,2020-07-01 13:00 Local,220° @ 13,30.8
BKK,2020-07-01 16:00 Local,225° @ 16,29.5
BKK,2020-07-01 19:00 Local,255° @ 21,29.2
BKK,2020-07-01 22:00 Local,255° @ 16,28.7
BKK,2020-07-02 01:00 Local,240° @ 12,28.5
BKK,2020-07-02 04:00 Local,225° @ 14,28.4
BKK,2020-07-02 07:00 Local,230° @ 9,28.3
BKK,2020-07-02 10:00 Local,240° @ 16,30.8
BKK,2020-07-02 13:00 Local,225° @ 13,32.7
BKK,2020-07-02 16:00 Local,220° @ 22,31.6
BKK,2020-07-02 19:00 Local,210° @ 18,28.4
BKK,2020-07-02 22:00 Local,225° @ 13,29.1
BKK,2020-07-03 01:00 Local,235° @ 11,28.7
BKK,2020-07-03 04:00 Local,230° @ 14,28.3
BKK,2020-07-03 07:00 Local,220° @ 12,28.8
BKK,2020-07-03 10:00 Local,235° @ 16,29.2
BKK,2020-07-03 13:00 Local,215° @ 11,30.2
BKK,2020-07-03 16:00 Local,220° @ 12,29.7
BKK,2020-07-03 19:00 Local,240° @ 28,28
BKK,2020-07-03 22:00 Local,245° @ 26,27.2
BKK,2020-07-04 01:00 Local,255° @ 11,27.5
BKK,2020-07-04 04:00 Local,245° @ 10,27.4
BKK,2020-07-04 07:00 Local,210° @ 5,27.9
BKK,2020-07-04 10:00 Local,230° @ 10,29.8
BKK,2020-07-04 13:00 Local,250° @ 13,29.9
BKK,2020-07-04 16:00 Local,295° @ 17,26.5
BKK,2020-07-04 19:00 Local,265° @ 5,27.8
BKK,2020-07-04 22:00 Local,250° @ 7,27.9
BKK,2020-07-05 01:00 Local,250° @ 7,27.6
BKK,2020-07-05 04:00 Local,220° @ 8,27.2
BKK,2020-07-05 07:00 Local,190° @ 8,27.5
BKK,2020-07-05 10:00 Local,260° @ 15,28.5
BKK,2020-07-05 13:00 Local,220° @ 9,29.7
BKK,2020-07-05 16:00 Local,250° @ 9,30.6
BKK,2020-07-05 19:00 Local,220° @ 10,29.1
BKK,2020-07-05 22:00 Local,235° @ 11,28.1
BKK,2020-07-06 01:00 Local,265° @ 12,27.5
BKK,2020-07-06 04:00 Local,285° @ 12,27.2
BKK,2020-07-06 07:00 Local,270° @ 9,27.4
BKK,2020-07-06 10:00 Local,295° @ 7,29.4
BKK,2020-07-06 13:00 Local,225° @ 4,32.5
BKK,2020-07-06 16:00 Local,190° @ 8,32.4
BKK,2020-07-06 19:00 Local,185° @ 11,30.9
BKK,2020-07-06 22:00 Local,195° @ 18,29.4
BKK,2020-07-07 01:00 Local,200° @ 8,28.9
BKK,2020-07-07 04:00 Local,270° @ 2,28.2
BKK,2020-07-07 07:00 Local,290° @ 5,28.5
BKK,2020-07-07 10:00 Local,250° @ 4,31.3
BKK,2020-07-07 13:00 Local,180° @ 7,32.8
BKK,2020-07-07 16:00 Local,150° @ 15,32.6
BKK,2020-07-07 19:00 Local,165° @ 21,30.3
BKK,2020-07-07 22:00 Local,165° @ 19,29.7
BKK,2020-07-08 01:00 Local,175° @ 14,28.9
BKK,2020-07-08 04:00 Local,155° @ 13,28.3
BKK,2020-07-08 07:00 Local,160° @ 10,28.8
BKK,2020-07-08 10:00 Local,175° @ 13,31.4
BKK,2020-07-08 13:00 Local,180° @ 12,32.3
BKK,2020-07-08 16:00 Local,180° @ 16,32.1
BKK,2020-07-08 19:00 Local,175° @ 15,30
BKK,2020-07-08 22:00 Local,175° @ 20,29.4
BKK,2020-07-09 01:00 Local,185° @ 15,28.9
BKK,2020-07-09 04:00 Local,185° @ 14,28.3
BKK,2020-07-09 07:00 Local,225° @ 9,28.8
BKK,2020-07-09 10:00 Local,235° @ 8,30.7
BKK,2020-07-09 13:00 Local,215° @ 10,32.5
BKK,2020-07-09 16:00 Local,205° @ 10,32.6
BKK,2020-07-09 19:00 Local,165° @ 11,31.1
BKK,2020-07-09 22:00 Local,180° @ 22,29.9
BKK,2020-07-10 01:00 Local,185° @ 12,29.4
BKK,2020-07-10 04:00 Local,250° @ 6,28.8
BKK,2020-07-10 07:00 Local,265° @ 5,29
BKK,2020-07-10 10:00 Local,270° @ 9,31.8
BKK,2020-07-10 13:00 Local,245° @ 11,33.5
BKK,2020-07-10 16:00 Local,205° @ 13,33.5
BKK,2020-07-10 19:00 Local,185° @ 16,31.5
BKK,2020-07-10 22:00 Local,185° @ 18,30.2
BKK,2020-07-11 01:00 Local,215° @ 10,29.7
BKK,2020-07-11 04:00 Local,290° @ 11,28.5
BKK,2020-07-11 07:00 Local,275° @ 11,28.3
BKK,2020-07-11 10:00 Local,285° @ 11,31
BKK,2020-07-11 13:00 Local,230° @ 9,33
BKK,2020-07-11 16:00 Local,215° @ 9,33.1
BKK,2020-07-11 19:00 Local,205° @ 8,31.4
BKK,2020-07-11 22:00 Local,185° @ 16,30.4
BKK,2020-07-12 01:00 Local,185° @ 12,29.6
BKK,2020-07-12 04:00 Local,195° @ 10,29.1
BKK,2020-07-12 07:00 Local,270° @ 7,29.2
BKK,2020-07-12 10:00 Local,275° @ 6,31.2
BKK,2020-07-12 13:00 Local,235° @ 6,32.5
BKK,2020-07-12 16:00 Local,175° @ 7,32.3
BKK,2020-07-12 19:00 Local,160° @ 12,30.8
BKK,2020-07-12 22:00 Local,165° @ 14,29.9
BKK,2020-07-13 01:00 Local,195° @ 13,29.6
BKK,2020-07-13 04:00 Local,230° @ 9,29.1
BKK,2020-07-13 07:00 Local,285° @ 3,28.4
BKK,2020-07-13 10:00 Local,230° @ 7,29.3
BKK,2020-07-13 13:00 Local,225° @ 4,31.6
BKK,2020-07-13 16:00 Local,200° @ 12,31.3
BKK,2020-07-13 19:00 Local,200° @ 14,28.8
BKK,2020-07-13 22:00 Local,225° @ 8,28.8
BKK,2020-07-14 01:00 Local,280° @ 9,28
BKK,2020-07-14 04:00 Local,185° @ 4,27.6
BKK,2020-07-14 07:00 Local,190° @ 14,26.6
BKK,2020-07-14 10:00 Local,155° @ 9,27
BKK,2020-07-14 13:00 Local,285° @ 5,29
BKK,2020-07-14 16:00 Local,125° @ 5,29.2
BKK,2020-07-14 19:00 Local,170° @ 8,28.6
BKK,2020-07-14 22:00 Local,215° @ 6,28.2
BKK,2020-07-15 01:00 Local,240° @ 4,27.5
BKK,2020-07-15 04:00 Local,80° @ 4,27.3
BKK,2020-07-15 07:00 Local,60° @ 1,27.6
BKK,2020-07-15 10:00 Local,240° @ 5,29.2
BKK,2020-07-15 13:00 Local,225° @ 10,31.1
BKK,2020-07-15 16:00 Local,230° @ 14,31.1
BKK,2020-07-15 19:00 Local,195° @ 4,30.1
BKK,2020-07-15 22:00 Local,240° @ 11,28.9
BKK,2020-07-16 01:00 Local,230° @ 7,28.1
BKK,2020-07-16 04:00 Local,230° @ 10,28
BKK,2020-07-16 07:00 Local,235° @ 6,27.7
BKK,2020-07-16 10:00 Local,245° @ 10,30.6
BKK,2020-07-16 13:00 Local,195° @ 9,32.6
BKK,2020-07-16 16:00 Local,200° @ 13,32.6
BKK,2020-07-16 19:00 Local,250° @ 17,29.3
BKK,2020-07-16 22:00 Local,250° @ 11,28.6
BKK,2020-07-17 01:00 Local,215° @ 7,27.8
BKK,2020-07-17 04:00 Local,170° @ 7,28
BKK,2020-07-17 07:00 Local,280° @ 10,28.1
BKK,2020-07-17 10:00 Local,240° @ 9,30.6
BKK,2020-07-17 13:00 Local,210° @ 8,32.3
BKK,2020-07-17 16:00 Local,205° @ 11,32.7
BKK,2020-07-17 19:00 Local,175° @ 10,31.2
BKK,2020-07-17 22:00 Local,185° @ 17,29.9
BKK,2020-07-18 01:00 Local,180° @ 10,29.5
BKK,2020-07-18 04:00 Local,195° @ 9,28.7
BKK,2020-07-18 07:00 Local,240° @ 3,28.9
BKK,2020-07-18 10:00 Local,175° @ 9,31.5
BKK,2020-07-18 13:00 Local,180° @ 13,32.7
BKK,2020-07-18 16:00 Local,185° @ 14,32.8
BKK,2020-07-18 19:00 Local,175° @ 12,30.8
BKK,2020-07-18 22:00 Local,170° @ 15,30.1
BKK,2020-07-19 01:00 Local,190° @ 15,29.4
BKK,2020-07-19 04:00 Local,175° @ 15,29.1
