Province,DateTime,Wind,Temp
ChangMai,2020-06-30 22:00 Local,190° @ 4,25.2
ChangMai,2020-07-01 01:00 Local,220° @ 4,24
ChangMai,2020-07-01 04:00 Local,205° @ 3,23.4
ChangMai,2020-07-01 07:00 Local,220° @ 4,24.1
ChangMai,2020-07-01 10:00 Local,210° @ 4,29.7
ChangMai,2020-07-01 13:00 Local,215° @ 8,31.5
ChangMai,2020-07-01 16:00 Local,240° @ 8,31.3
ChangMai,2020-07-01 19:00 Local,235° @ 8,26.1
ChangMai,2020-07-01 22:00 Local,230° @ 6,24.2
ChangMai,2020-07-02 01:00 Local,215° @ 3,23.2
ChangMai,2020-07-02 04:00 Local,200° @ 1,22.8
ChangMai,2020-07-02 07:00 Local,170° @ 1,23.9
ChangMai,2020-07-02 10:00 Local,165° @ 2,28.8
ChangMai,2020-07-02 13:00 Local,230° @ 5,31.6
ChangMai,2020-07-02 16:00 Local,225° @ 5,31.8
ChangMai,2020-07-02 19:00 Local,235° @ 2,26
ChangMai,2020-07-02 22:00 Local,215° @ 2,24.2
ChangMai,2020-07-03 01:00 Local,205° @ 3,23.6
ChangMai,2020-07-03 04:00 Local,215° @ 2,23
ChangMai,2020-07-03 07:00 Local,205° @ 2,24.3
ChangMai,2020-07-03 10:00 Local,190° @ 3,29.3
ChangMai,2020-07-03 13:00 Local,195° @ 6,31.5
ChangMai,2020-07-03 16:00 Local,235° @ 7,30.4
ChangMai,2020-07-03 19:00 Local,200° @ 6,25.8
ChangMai,2020-07-03 22:00 Local,230° @ 2,24.6
ChangMai,2020-07-04 01:00 Local,285° @ 2,23.7
ChangMai,2020-07-04 04:00 Local,195° @ 3,22.9
ChangMai,2020-07-04 07:00 Local,105° @ 1,23.5
ChangMai,2020-07-04 10:00 Local,180° @ 4,23.8
ChangMai,2020-07-04 13:00 Local,155° @ 4,27.7
ChangMai,2020-07-04 16:00 Local,145° @ 7,27.1
ChangMai,2020-07-04 19:00 Local,175° @ 5,25.2
ChangMai,2020-07-04 22:00 Local,175° @ 3,23.6
ChangMai,2020-07-05 01:00 Local,195° @ 2,23.2
ChangMai,2020-07-05 04:00 Local,255° @ 1,22.9
ChangMai,2020-07-05 07:00 Local,185° @ 3,23
ChangMai,2020-07-05 10:00 Local,160° @ 3,26.6
ChangMai,2020-07-05 13:00 Local,270° @ 4,26.9
ChangMai,2020-07-05 16:00 Local,220° @ 5,29.2
ChangMai,2020-07-05 19:00 Local,175° @ 5,25.1
ChangMai,2020-07-05 22:00 Local,225° @ 4,23.7
ChangMai,2020-07-06 01:00 Local,250° @ 4,23.1
