Province,DateTime,Wind,Temp
KhonKaen,2020-06-30 22:00 Local,195° @ 13,27.6
KhonKaen,2020-07-01 01:00 Local,205° @ 21,26.7
KhonKaen,2020-07-01 04:00 Local,210° @ 18,25.5
KhonKaen,2020-07-01 07:00 Local,225° @ 19,26
KhonKaen,2020-07-01 10:00 Local,230° @ 21,29.4
KhonKaen,2020-07-01 13:00 Local,235° @ 13,32.8
KhonKaen,2020-07-01 16:00 Local,230° @ 11,32.5
KhonKaen,2020-07-01 19:00 Local,225° @ 9,29.1
KhonKaen,2020-07-01 22:00 Local,185° @ 17,26.4
KhonKaen,2020-07-02 01:00 Local,210° @ 18,25.8
KhonKaen,2020-07-02 04:00 Local,240° @ 16,24.8
KhonKaen,2020-07-02 07:00 Local,225° @ 10,26.1
KhonKaen,2020-07-02 10:00 Local,215° @ 16,29.3
KhonKaen,2020-07-02 13:00 Local,215° @ 14,32.4
KhonKaen,2020-07-02 16:00 Local,220° @ 11,32.5
KhonKaen,2020-07-02 19:00 Local,205° @ 9,28.9
KhonKaen,2020-07-02 22:00 Local,200° @ 14,27.1
KhonKaen,2020-07-03 01:00 Local,210° @ 15,26.4
KhonKaen,2020-07-03 04:00 Local,200° @ 12,26
KhonKaen,2020-07-03 07:00 Local,195° @ 6,26.2
KhonKaen,2020-07-03 10:00 Local,200° @ 14,27.4
KhonKaen,2020-07-03 13:00 Local,220° @ 13,28.9
KhonKaen,2020-07-03 16:00 Local,260° @ 6,31
KhonKaen,2020-07-03 19:00 Local,5° @ 1,28.7
KhonKaen,2020-07-03 22:00 Local,195° @ 11,26.4
KhonKaen,2020-07-04 01:00 Local,210° @ 16,25.2
KhonKaen,2020-07-04 04:00 Local,205° @ 17,24.3
KhonKaen,2020-07-04 07:00 Local,225° @ 14,24.5
KhonKaen,2020-07-04 10:00 Local,205° @ 13,25.2
KhonKaen,2020-07-04 13:00 Local,245° @ 10,30.1
KhonKaen,2020-07-04 16:00 Local,220° @ 9,30.3
KhonKaen,2020-07-04 19:00 Local,210° @ 10,27.1
KhonKaen,2020-07-04 22:00 Local,210° @ 11,25.6
KhonKaen,2020-07-05 01:00 Local,215° @ 9,25
KhonKaen,2020-07-05 04:00 Local,200° @ 9,24.4
KhonKaen,2020-07-05 07:00 Local,225° @ 11,25.3
KhonKaen,2020-07-05 10:00 Local,265° @ 8,29.5
KhonKaen,2020-07-05 13:00 Local,290° @ 3,32.5
KhonKaen,2020-07-05 16:00 Local,350° @ 3,32.2
KhonKaen,2020-07-05 19:00 Local,180° @ 0,29.9
KhonKaen,2020-07-05 22:00 Local,225° @ 6,28
KhonKaen,2020-07-06 01:00 Local,240° @ 7,27
KhonKaen,2020-07-06 04:00 Local,220° @ 9,25.9
KhonKaen,2020-07-06 07:00 Local,245° @ 9,27
KhonKaen,2020-07-06 10:00 Local,295° @ 6,31.3
KhonKaen,2020-07-06 13:00 Local,115° @ 1,34.6
KhonKaen,2020-07-06 16:00 Local,175° @ 7,34.4
KhonKaen,2020-07-06 19:00 Local,155° @ 5,31.5
KhonKaen,2020-07-06 22:00 Local,160° @ 10,29.6
KhonKaen,2020-07-07 01:00 Local,190° @ 7,27.9
KhonKaen,2020-07-07 04:00 Local,195° @ 10,26.6
KhonKaen,2020-07-07 07:00 Local,180° @ 11,27.6
KhonKaen,2020-07-07 10:00 Local,175° @ 14,31.9
KhonKaen,2020-07-07 13:00 Local,170° @ 14,33.7
KhonKaen,2020-07-07 16:00 Local,165° @ 12,33.7
KhonKaen,2020-07-07 19:00 Local,155° @ 10,30.4
KhonKaen,2020-07-07 22:00 Local,170° @ 11,28.6
KhonKaen,2020-07-08 01:00 Local,175° @ 8,27.2
KhonKaen,2020-07-08 04:00 Local,200° @ 7,26.1
KhonKaen,2020-07-08 07:00 Local,180° @ 10,27
KhonKaen,2020-07-08 10:00 Local,205° @ 13,30.9
KhonKaen,2020-07-08 13:00 Local,210° @ 13,33.9
KhonKaen,2020-07-08 16:00 Local,210° @ 10,34.3
KhonKaen,2020-07-08 19:00 Local,180° @ 8,30.7
KhonKaen,2020-07-08 22:00 Local,205° @ 11,29
KhonKaen,2020-07-09 01:00 Local,185° @ 14,27.7
KhonKaen,2020-07-09 04:00 Local,220° @ 11,26.7
KhonKaen,2020-07-09 07:00 Local,200° @ 11,27.5
KhonKaen,2020-07-09 10:00 Local,230° @ 12,31.6
KhonKaen,2020-07-09 13:00 Local,220° @ 13,34.3
KhonKaen,2020-07-09 16:00 Local,225° @ 16,34
KhonKaen,2020-07-09 19:00 Local,200° @ 11,30.2
KhonKaen,2020-07-09 22:00 Local,220° @ 10,28.4
KhonKaen,2020-07-10 01:00 Local,200° @ 10,27.5
KhonKaen,2020-07-10 04:00 Local,220° @ 9,26.9
KhonKaen,2020-07-10 07:00 Local,205° @ 13,28
KhonKaen,2020-07-10 10:00 Local,220° @ 16,32.7
KhonKaen,2020-07-10 13:00 Local,225° @ 13,35.5
KhonKaen,2020-07-10 16:00 Local,230° @ 14,34.8
KhonKaen,2020-07-10 19:00 Local,225° @ 12,31.6
KhonKaen,2020-07-10 22:00 Local,235° @ 14,29
KhonKaen,2020-07-11 01:00 Local,195° @ 8,27.6
KhonKaen,2020-07-11 04:00 Local,215° @ 10,26.9
KhonKaen,2020-07-11 07:00 Local,220° @ 13,27.4
KhonKaen,2020-07-11 10:00 Local,230° @ 12,31.9
KhonKaen,2020-07-11 13:00 Local,215° @ 12,34.4
KhonKaen,2020-07-11 16:00 Local,215° @ 14,33.8
KhonKaen,2020-07-11 19:00 Local,215° @ 10,30.3
KhonKaen,2020-07-11 22:00 Local,225° @ 10,28.8
KhonKaen,2020-07-12 01:00 Local,185° @ 10,27.8
KhonKaen,2020-07-12 04:00 Local,210° @ 10,26.9
KhonKaen,2020-07-12 07:00 Local,210° @ 11,27.6
KhonKaen,2020-07-12 10:00 Local,220° @ 14,31.7
KhonKaen,2020-07-12 13:00 Local,225° @ 12,34
KhonKaen,2020-07-12 16:00 Local,245° @ 8,33.9
KhonKaen,2020-07-12 19:00 Local,295° @ 6,30.3
KhonKaen,2020-07-12 22:00 Local,345° @ 7,28.3
KhonKaen,2020-07-13 01:00 Local,285° @ 2,27.4
KhonKaen,2020-07-13 04:00 Local,260° @ 1,26.4
KhonKaen,2020-07-13 07:00 Local,200° @ 16,27.5
KhonKaen,2020-07-13 10:00 Local,205° @ 16,31.9
KhonKaen,2020-07-13 13:00 Local,205° @ 15,34.4
KhonKaen,2020-07-13 16:00 Local,185° @ 7,34.2
KhonKaen,2020-07-13 19:00 Local,165° @ 8,31.1
KhonKaen,2020-07-13 22:00 Local,170° @ 6,29.3
KhonKaen,2020-07-14 01:00 Local,205° @ 9,26.9
KhonKaen,2020-07-14 04:00 Local,205° @ 10,25.5
KhonKaen,2020-07-14 07:00 Local,220° @ 12,26.4
KhonKaen,2020-07-14 10:00 Local,240° @ 12,31.1
KhonKaen,2020-07-14 13:00 Local,220° @ 9,33.8
KhonKaen,2020-07-14 16:00 Local,200° @ 1,34.5
KhonKaen,2020-07-14 19:00 Local,80° @ 7,31.6
KhonKaen,2020-07-14 22:00 Local,70° @ 11,28.8
KhonKaen,2020-07-15 01:00 Local,150° @ 6,27.3
KhonKaen,2020-07-15 04:00 Local,205° @ 5,26.3
KhonKaen,2020-07-15 07:00 Local,205° @ 8,27
KhonKaen,2020-07-15 10:00 Local,240° @ 7,31.8
KhonKaen,2020-07-15 13:00 Local,205° @ 6,33.7
KhonKaen,2020-07-15 16:00 Local,165° @ 6,34.2
KhonKaen,2020-07-15 19:00 Local,190° @ 10,31.1
KhonKaen,2020-07-15 22:00 Local,235° @ 10,28.4
KhonKaen,2020-07-16 01:00 Local,220° @ 8,27.4
KhonKaen,2020-07-16 04:00 Local,185° @ 7,26.5
KhonKaen,2020-07-16 07:00 Local,210° @ 11,27.4
KhonKaen,2020-07-16 10:00 Local,205° @ 11,31.6
KhonKaen,2020-07-16 13:00 Local,165° @ 11,33.3
KhonKaen,2020-07-16 16:00 Local,155° @ 10,32.7
KhonKaen,2020-07-16 19:00 Local,135° @ 5,30
KhonKaen,2020-07-16 22:00 Local,170° @ 12,28.5
KhonKaen,2020-07-17 01:00 Local,170° @ 10,27
KhonKaen,2020-07-17 04:00 Local,180° @ 8,26
KhonKaen,2020-07-17 07:00 Local,205° @ 6,27.1
KhonKaen,2020-07-17 10:00 Local,185° @ 11,31.4
KhonKaen,2020-07-17 13:00 Local,175° @ 12,33.4
KhonKaen,2020-07-17 16:00 Local,185° @ 13,34
KhonKaen,2020-07-17 19:00 Local,195° @ 9,30.5
KhonKaen,2020-07-17 22:00 Local,180° @ 9,29
KhonKaen,2020-07-18 01:00 Local,200° @ 7,27.9
KhonKaen,2020-07-18 04:00 Local,225° @ 8,26.7
KhonKaen,2020-07-18 07:00 Local,210° @ 6,27.6
KhonKaen,2020-07-18 10:00 Local,210° @ 9,32
KhonKaen,2020-07-18 13:00 Local,200° @ 12,34.6
