Province,DateTime,Wind,Temp
Rayong,2020-06-30 22:00 Local,240° @ 27,28.5
Rayong,2020-07-01 01:00 Local,250° @ 18,28.2
Rayong,2020-07-01 04:00 Local,230° @ 18,27.8
Rayong,2020-07-01 07:00 Local,245° @ 16,28.2
Rayong,2020-07-01 10:00 Local,250° @ 18,29.6
Rayong,2020-07-01 13:00 Local,235° @ 16,29.5
Rayong,2020-07-01 16:00 Local,220° @ 16,29.3
Rayong,2020-07-01 19:00 Local,240° @ 24,29
Rayong,2020-07-01 22:00 Local,255° @ 23,28.8
Rayong,2020-07-02 01:00 Local,225° @ 18,28
Rayong,2020-07-02 04:00 Local,225° @ 17,28.1
Rayong,2020-07-02 07:00 Local,220° @ 13,28.5
Rayong,2020-07-02 10:00 Local,235° @ 26,29.5
Rayong,2020-07-02 13:00 Local,230° @ 22,28.9
Rayong,2020-07-02 16:00 Local,245° @ 29,29
Rayong,2020-07-02 19:00 Local,240° @ 25,28.6
Rayong,2020-07-02 22:00 Local,240° @ 22,28.5
Rayong,2020-07-03 01:00 Local,240° @ 22,28
Rayong,2020-07-03 04:00 Local,240° @ 21,27.8
Rayong,2020-07-03 07:00 Local,230° @ 20,28.3
Rayong,2020-07-03 10:00 Local,225° @ 21,29.1
Rayong,2020-07-03 13:00 Local,220° @ 23,29.4
Rayong,2020-07-03 16:00 Local,230° @ 28,28.7
Rayong,2020-07-03 19:00 Local,250° @ 36,27.1
Rayong,2020-07-03 22:00 Local,260° @ 24,27.5
Rayong,2020-07-04 01:00 Local,265° @ 10,27.7
Rayong,2020-07-04 04:00 Local,230° @ 12,27.7
Rayong,2020-07-04 07:00 Local,195° @ 22,27.6
Rayong,2020-07-04 10:00 Local,220° @ 18,28.8
Rayong,2020-07-04 13:00 Local,235° @ 23,28.9
Rayong,2020-07-04 16:00 Local,255° @ 22,28.8
Rayong,2020-07-04 19:00 Local,265° @ 16,28.3
Rayong,2020-07-04 22:00 Local,250° @ 17,28
Rayong,2020-07-05 01:00 Local,240° @ 11,27.6
Rayong,2020-07-05 04:00 Local,260° @ 11,27
Rayong,2020-07-05 07:00 Local,335° @ 8,26.6
Rayong,2020-07-05 10:00 Local,295° @ 5,27.4
Rayong,2020-07-05 13:00 Local,235° @ 11,28.8
Rayong,2020-07-05 16:00 Local,220° @ 11,29.4
Rayong,2020-07-05 19:00 Local,195° @ 15,28.4
Rayong,2020-07-05 22:00 Local,225° @ 18,28.2
Rayong,2020-07-06 01:00 Local,265° @ 18,28.2
Rayong,2020-07-06 04:00 Local,285° @ 12,27.8
Rayong,2020-07-06 07:00 Local,290° @ 10,27.7
Rayong,2020-07-06 10:00 Local,285° @ 6,29.2
Rayong,2020-07-06 13:00 Local,235° @ 11,30.3
Rayong,2020-07-06 16:00 Local,220° @ 14,30.2
Rayong,2020-07-06 19:00 Local,190° @ 16,28.9
Rayong,2020-07-06 22:00 Local,190° @ 17,28.6
Rayong,2020-07-07 01:00 Local,185° @ 14,28.6
Rayong,2020-07-07 04:00 Local,185° @ 12,28.3
Rayong,2020-07-07 07:00 Local,180° @ 9,28.6
Rayong,2020-07-07 10:00 Local,170° @ 14,29.7
Rayong,2020-07-07 13:00 Local,175° @ 12,30.5
Rayong,2020-07-07 16:00 Local,180° @ 18,29.7
Rayong,2020-07-07 19:00 Local,160° @ 15,28.4
