Province,DateTime,Wind,Temp
Saraburi,2020-06-30 22:00 Local,175° @ 16,25.9
Saraburi,2020-07-01 01:00 Local,175° @ 11,25.5
Saraburi,2020-07-01 04:00 Local,185° @ 12,25.1
Saraburi,2020-07-01 07:00 Local,190° @ 11,25.8
Saraburi,2020-07-01 10:00 Local,225° @ 16,28.7
Saraburi,2020-07-01 13:00 Local,225° @ 17,30.3
Saraburi,2020-07-01 16:00 Local,225° @ 19,30.2
Saraburi,2020-07-01 19:00 Local,200° @ 12,26.9
Saraburi,2020-07-01 22:00 Local,215° @ 9,26.2
Saraburi,2020-07-02 01:00 Local,185° @ 8,25.6
Saraburi,2020-07-02 04:00 Local,180° @ 8,25.1
Saraburi,2020-07-02 07:00 Local,180° @ 8,26
Saraburi,2020-07-02 10:00 Local,215° @ 16,30.1
Saraburi,2020-07-02 13:00 Local,225° @ 12,32.6
Saraburi,2020-07-02 16:00 Local,205° @ 15,30.9
Saraburi,2020-07-02 19:00 Local,185° @ 14,26.7
Saraburi,2020-07-02 22:00 Local,170° @ 15,25.4
Saraburi,2020-07-03 01:00 Local,155° @ 10,25.3
Saraburi,2020-07-03 04:00 Local,180° @ 11,25.4
Saraburi,2020-07-03 07:00 Local,170° @ 11,25.7
Saraburi,2020-07-03 10:00 Local,205° @ 15,28.5
Saraburi,2020-07-03 13:00 Local,210° @ 15,31.6
Saraburi,2020-07-03 16:00 Local,210° @ 20,30.3
Saraburi,2020-07-03 19:00 Local,205° @ 17,26.7
Saraburi,2020-07-03 22:00 Local,205° @ 17,24.9
Saraburi,2020-07-04 01:00 Local,175° @ 8,24.6
Saraburi,2020-07-04 04:00 Local,155° @ 5,24.5
Saraburi,2020-07-04 07:00 Local,165° @ 5,24.5
Saraburi,2020-07-04 10:00 Local,175° @ 2,25.8
Saraburi,2020-07-04 13:00 Local,190° @ 7,25.6
Saraburi,2020-07-04 16:00 Local,195° @ 10,25.5
Saraburi,2020-07-04 19:00 Local,160° @ 9,24.9
Saraburi,2020-07-04 22:00 Local,170° @ 11,24.4
Saraburi,2020-07-05 01:00 Local,180° @ 8,24.4
Saraburi,2020-07-05 04:00 Local,180° @ 8,24.2
Saraburi,2020-07-05 07:00 Local,175° @ 7,24.6
Saraburi,2020-07-05 10:00 Local,235° @ 15,28.6
Saraburi,2020-07-05 13:00 Local,255° @ 14,31.8
Saraburi,2020-07-05 16:00 Local,215° @ 11,31.2
Saraburi,2020-07-05 19:00 Local,165° @ 5,27.5
Saraburi,2020-07-05 22:00 Local,200° @ 9,25.8
Saraburi,2020-07-06 01:00 Local,190° @ 7,25.3
Saraburi,2020-07-06 04:00 Local,165° @ 2,24.5
Saraburi,2020-07-06 07:00 Local,170° @ 5,26
Saraburi,2020-07-06 10:00 Local,225° @ 6,29.7
Saraburi,2020-07-06 13:00 Local,315° @ 3,33.3
Saraburi,2020-07-06 16:00 Local,170° @ 3,33
Saraburi,2020-07-06 19:00 Local,135° @ 4,29.4
Saraburi,2020-07-06 22:00 Local,150° @ 6,26.7
Saraburi,2020-07-07 01:00 Local,180° @ 11,25.7
Saraburi,2020-07-07 04:00 Local,160° @ 9,25.1
Saraburi,2020-07-07 07:00 Local,170° @ 8,26.5
Saraburi,2020-07-07 10:00 Local,200° @ 12,30.4
Saraburi,2020-07-07 13:00 Local,170° @ 10,32.7
Saraburi,2020-07-07 16:00 Local,160° @ 13,31.9
Saraburi,2020-07-07 19:00 Local,145° @ 13,27.7
Saraburi,2020-07-07 22:00 Local,150° @ 11,26.3
Saraburi,2020-07-08 01:00 Local,145° @ 7,25.4
Saraburi,2020-07-08 04:00 Local,145° @ 9,24.9
Saraburi,2020-07-08 07:00 Local,135° @ 8,25.9
Saraburi,2020-07-08 10:00 Local,170° @ 14,30.3
Saraburi,2020-07-08 13:00 Local,175° @ 12,32.5
Saraburi,2020-07-08 16:00 Local,180° @ 11,31.9
Saraburi,2020-07-08 19:00 Local,130° @ 7,27.7
Saraburi,2020-07-08 22:00 Local,155° @ 9,26.7
Saraburi,2020-07-09 01:00 Local,160° @ 8,26
Saraburi,2020-07-09 04:00 Local,155° @ 7,25.4
Saraburi,2020-07-09 07:00 Local,160° @ 9,26.2
Saraburi,2020-07-09 10:00 Local,190° @ 16,30
Saraburi,2020-07-09 13:00 Local,195° @ 13,32.2
Saraburi,2020-07-09 16:00 Local,195° @ 11,32.5
Saraburi,2020-07-09 19:00 Local,140° @ 8,29
Saraburi,2020-07-09 22:00 Local,155° @ 9,27.4
Saraburi,2020-07-10 01:00 Local,190° @ 8,26.2
