Province,DateTime,Wind,Temp
Suratthani,2020-06-30 22:00 Local,185° @ 5,25.9
Suratthani,2020-07-01 01:00 Local,225° @ 3,25.2
Suratthani,2020-07-01 04:00 Local,215° @ 6,24.7
Suratthani,2020-07-01 07:00 Local,250° @ 7,25.4
Suratthani,2020-07-01 10:00 Local,235° @ 10,29.3
Suratthani,2020-07-01 13:00 Local,235° @ 10,31.7
Suratthani,2020-07-01 16:00 Local,230° @ 9,31.8
Suratthani,2020-07-01 19:00 Local,270° @ 4,27.3
Suratthani,2020-07-01 22:00 Local,230° @ 5,25.9
Suratthani,2020-07-02 01:00 Local,215° @ 6,25.1
Suratthani,2020-07-02 04:00 Local,225° @ 8,24.6
Suratthani,2020-07-02 07:00 Local,235° @ 8,25.6
Suratthani,2020-07-02 10:00 Local,220° @ 13,29.6
Suratthani,2020-07-02 13:00 Local,230° @ 10,31.4
Suratthani,2020-07-02 16:00 Local,245° @ 15,29.1
Suratthani,2020-07-02 19:00 Local,240° @ 8,26.1
Suratthani,2020-07-02 22:00 Local,205° @ 9,25.7
Suratthani,2020-07-03 01:00 Local,215° @ 8,25.3
Suratthani,2020-07-03 04:00 Local,220° @ 9,25
Suratthani,2020-07-03 07:00 Local,220° @ 9,25.4
Suratthani,2020-07-03 10:00 Local,215° @ 12,27.8
Suratthani,2020-07-03 13:00 Local,235° @ 10,31.5
Suratthani,2020-07-03 16:00 Local,265° @ 8,30.5
Suratthani,2020-07-03 19:00 Local,270° @ 4,26.8
Suratthani,2020-07-03 22:00 Local,255° @ 3,26.2
Suratthani,2020-07-04 01:00 Local,215° @ 3,25.7
Suratthani,2020-07-04 04:00 Local,250° @ 4,25.1
Suratthani,2020-07-04 07:00 Local,215° @ 5,25.5
Suratthani,2020-07-04 10:00 Local,225° @ 6,29.6
Suratthani,2020-07-04 13:00 Local,250° @ 6,30.5
Suratthani,2020-07-04 16:00 Local,90° @ 6,29.4
Suratthani,2020-07-04 19:00 Local,195° @ 3,26.4
Suratthani,2020-07-04 22:00 Local,185° @ 4,25.8
Suratthani,2020-07-05 01:00 Local,185° @ 3,25.4
Suratthani,2020-07-05 04:00 Local,190° @ 4,25.1
Suratthani,2020-07-05 07:00 Local,225° @ 4,25.4
Suratthani,2020-07-05 10:00 Local,235° @ 5,30
Suratthani,2020-07-05 13:00 Local,250° @ 2,31.8
Suratthani,2020-07-05 16:00 Local,75° @ 4,30.3
Suratthani,2020-07-05 19:00 Local,165° @ 2,26.4
Suratthani,2020-07-05 22:00 Local,205° @ 2,25.7
Suratthani,2020-07-06 01:00 Local,215° @ 3,25.6
Suratthani,2020-07-06 04:00 Local,230° @ 4,24.7
Suratthani,2020-07-06 07:00 Local,245° @ 4,25.7
Suratthani,2020-07-06 10:00 Local,235° @ 7,29.6
Suratthani,2020-07-06 13:00 Local,220° @ 4,32
Suratthani,2020-07-06 16:00 Local,225° @ 2,32
Suratthani,2020-07-06 19:00 Local,220° @ 3,27
Suratthani,2020-07-06 22:00 Local,230° @ 4,26.2
Suratthani,2020-07-07 01:00 Local,215° @ 5,25
Suratthani,2020-07-07 04:00 Local,210° @ 6,24.6
Suratthani,2020-07-07 07:00 Local,255° @ 3,25.3
Suratthani,2020-07-07 10:00 Local,230° @ 6,28.7
Suratthani,2020-07-07 13:00 Local,275° @ 5,28
Suratthani,2020-07-07 16:00 Local,270° @ 9,25.7
Suratthani,2020-07-07 19:00 Local,235° @ 7,24.8
Suratthani,2020-07-07 22:00 Local,235° @ 5,24.3
Suratthani,2020-07-08 01:00 Local,230° @ 6,24
Suratthani,2020-07-08 04:00 Local,215° @ 6,23.4
Suratthani,2020-07-08 07:00 Local,240° @ 5,24.3
Suratthani,2020-07-08 10:00 Local,245° @ 6,28.7
Suratthani,2020-07-08 13:00 Local,250° @ 4,30.4
Suratthani,2020-07-08 16:00 Local,5° @ 2,29
Suratthani,2020-07-08 19:00 Local,290° @ 4,25.8
Suratthani,2020-07-08 22:00 Local,255° @ 4,25.1
Suratthani,2020-07-09 01:00 Local,270° @ 4,24.6
Suratthani,2020-07-09 04:00 Local,225° @ 5,24.1
Suratthani,2020-07-09 07:00 Local,225° @ 7,24.7
Suratthani,2020-07-09 10:00 Local,240° @ 9,28.7
Suratthani,2020-07-09 13:00 Local,240° @ 6,29.8
Suratthani,2020-07-09 16:00 Local,260° @ 4,27.9
Suratthani,2020-07-09 19:00 Local,235° @ 3,25.6
Suratthani,2020-07-09 22:00 Local,200° @ 6,25
Suratthani,2020-07-10 01:00 Local,215° @ 6,24.7
Suratthani,2020-07-10 04:00 Local,235° @ 7,24.4
Suratthani,2020-07-10 07:00 Local,230° @ 6,24.6
Suratthani,2020-07-10 10:00 Local,220° @ 8,28.7
Suratthani,2020-07-10 13:00 Local,250° @ 8,30.7
Suratthani,2020-07-10 16:00 Local,275° @ 7,28.7
Suratthani,2020-07-10 19:00 Local,215° @ 7,25.4
Suratthani,2020-07-10 22:00 Local,235° @ 7,24.9
Suratthani,2020-07-11 01:00 Local,250° @ 5,24.4
Suratthani,2020-07-11 04:00 Local,230° @ 7,24.3
Suratthani,2020-07-11 07:00 Local,250° @ 4,25
Suratthani,2020-07-11 10:00 Local,240° @ 8,29
Suratthani,2020-07-11 13:00 Local,245° @ 6,30
Suratthani,2020-07-11 16:00 Local,225° @ 8,27.9
Suratthani,2020-07-11 19:00 Local,250° @ 6,26
Suratthani,2020-07-11 22:00 Local,240° @ 5,25.5
Suratthani,2020-07-12 01:00 Local,275° @ 2,24.9
Suratthani,2020-07-12 04:00 Local,205° @ 5,24.2
Suratthani,2020-07-12 07:00 Local,220° @ 8,24.9
Suratthani,2020-07-12 10:00 Local,220° @ 11,28.4
Suratthani,2020-07-12 13:00 Local,245° @ 12,29.6
Suratthani,2020-07-12 16:00 Local,255° @ 16,27.5
Suratthani,2020-07-12 19:00 Local,245° @ 7,25.6
Suratthani,2020-07-12 22:00 Local,210° @ 9,25.1
Suratthani,2020-07-13 01:00 Local,225° @ 4,24.9
Suratthani,2020-07-13 04:00 Local,235° @ 7,24.2
Suratthani,2020-07-13 07:00 Local,215° @ 5,24.8
Suratthani,2020-07-13 10:00 Local,235° @ 8,28.4
Suratthani,2020-07-13 13:00 Local,250° @ 7,30.7
Suratthani,2020-07-13 16:00 Local,225° @ 8,28
Suratthani,2020-07-13 19:00 Local,240° @ 9,25
Suratthani,2020-07-13 22:00 Local,210° @ 12,24.3
Suratthani,2020-07-14 01:00 Local,195° @ 2,24.2
Suratthani,2020-07-14 04:00 Local,20° @ 1,24.2
Suratthani,2020-07-14 07:00 Local,250° @ 3,24.6
Suratthani,2020-07-14 10:00 Local,20° @ 1,28.8
Suratthani,2020-07-14 13:00 Local,265° @ 4,31.5
